Agriculture 农业
soil  土壤
humus  腐殖质
wasteland  荒地
grass  草
grassland  草地
meadow  草甸
prairie  大草原
fallow  休闲地
stubble 亩茬地
straw 稿杆
farm  农场
ranch  牧场
hacienda  庄园
holding  田产
countryman  农夫
countrywoman  农妇
agronomist  农学家
farmer  农户
producer  农业工人
settle  佃户
landowner  地主
rancher  牧场主
sharecropper  佃农
ploughman  犁田者
surrealism  超现实主义
naturalism  自然主义
existentialism  存在主义
futurism  未来主义
Literature 文学
folklore  民间文学
orbit  轨道
trowel  镘子
float  托泥板
pulley  滑轮
hammer  锤
sledgehammer  长柄锤
chisel  凿子
pliers  钳子
plane  刨子
mallet  木槌
Machines 机器
steamroller  压路机
bulldozer  推土机
crane  吊车
generator  电动机
blowtorch  乙炔吹嘴
flooring  (一块)地板
floorboard  地板(总称)
parquet  木条地板
tile  瓷砖
terrazzo  磨石子地
wall  墙
plastering  抹灰
facade  建筑物正面
window  窗
basement  地下室
penthouse  遮檐
attic 阁楼
kitchen  厨房
lounge  吸烟室
bathroom  浴室
toilet  卫生间
chimney  烟囱
fireplace  壁炉
gutter  排水沟
Crops 农作物
rye  黑麦
barley  大麦
oats  燕麦
millet  粟
sorghum  高粱
bran  麸
flour 粗磨谷粉
wheat  小麦
rice  稻
buckwheat  荞麦
tea  茶
coffee  咖啡
cocoa  可可树
coca  古柯
tobacco  烟草
hop  蛇麻
potato  马铃薯
vegetables  蔬菜
carrot  胡萝卜
turnip  芜菁
yam  山药
bean  菜豆
pea  豌豆
chick-pea  鹰嘴豆
lentil  小扁豆
clover  三叶草
cotton  棉
flax  亚麻
hemp  大麻
sisal  剑麻
jute  黄麻
raffia  酒椰
yucca  丝兰
sunflower  向日葵
groundnut  落花生
olive  油橄榄
mangrove  红树
fruits  水果
grapevine  葡萄藤
grape  葡萄
horse  马
stallion  雄马
mare  雌马
gelding  阉割的马
hinny  驴骡
mule  马骡
cattle  牛
bull 雄牛
cow  雌牛
yak  牦牛
sheep  绵羊
ram  雄绵羊
ewe  雌绵羊
lamb  年幼的绵羊
